id,sentiment
"12311_10",1.0
"8348_2",0.1757298392797524
"5828_4",0.7547989820138683
"7186_2",0.5278735966577353
"12128_7",0.8301815835855078
"2913_8",0.8476445479926024
"4396_1",0.21617607386658577
"395_2",0.5152424314423586
"10616_1",0.0
"9074_9",0.49729561755306695
"9252_3",0.2571486145272668
"9896_9",0.7517261318954166
"574_4",0.4059861393391343
"11182_8",0.6293820324455068
"11656_4",0.4911554225938096
"2322_4",0.5867166055360358
"8703_1",0.4774068735300203
"7483_1",0.39750114238654444
"6007_10",0.9495547849891002
"12424_4",0.0
"4672_1",0.0
"10841_3",0.19629058994212562
"8954_7",0.4500896448987335
"7392_1",0.11163316136001666
"10288_8",0.8694533819721778
"5343_4",0.0022961898585677765
"4950_1",0.0
"9257_4",0.6250835614746981
"8689_3",0.33082275672338407
"4480_2",0.06920435656516916
"9286_10",0.7914496192974716
"12245_10",1.0
"7529_7",0.6988043085527089
"4_4",0.2139256315794938
"5299_2",0.03936786205689602
"12077_8",0.8213860578309389
"10701_2",0.04646497208597944
"11579_1",0.10625822064649881
"10993_1",0.07132557667194017
"8913_1",0.2221665662115525
"1350_3",0.23101606172353156
"3804_2",0.0
"5025_3",0.46194967186194724
"5170_8",0.7511504853917952
"8225_8",0.8638870428376166
"6427_7",0.8195923577191089
"3165_3",0.4100657904524951
"7902_9",1.0
"8208_3",0.003808408661144236
"3577_8",0.8754883912043302
"4865_1",0.0
"9063_3",0.4058077298433655
"1106_1",0.435289724848225
"1117_9",1.0
"1050_4",0.5153690129566527
"10755_9",0.7761777783270303
"2729_8",0.8057547934629732
"10072_10",0.9643842751548228
"2904_7",1.0
"4584_2",0.5461885310395788
"189_4",0.5883947578557366
"6302_4",0.4906928447568582
"8138_9",0.5946101506980175
"1262_1",0.09898217387887775
"2199_10",1.0
"6551_7",0.7924606642126548
"8082_7",0.39204585892593447
"4897_8",1.0
"7360_1",0.08556302939341442
"11012_10",0.955689561528918
"12046_1",0.36618248758361793
"2331_2",0.2912202496058285
"8961_9",0.711941335835568
"751_7",0.6681598830423331
"9884_10",0.6095552455681188
